pl_name,hostname,hd_name,hip_name,tic_id,ra,dec,sy_dist,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,discoverymethod,disc_year,default_flag
HD 30177 c,HD 30177,HD 30177,HIP 21850,TIC 220408612,70.4770964,-58.0208085,55.5867,12085.45186,583.05318,-440.70332,10.258,0.535,-0.48,0.039,0.005,-0.013,98.016,16.025,-24.235,138.62,115.798,-97.462,2444094.16,5896.464,-3537.291,,,,6.15,1.308,-0.341,,,,54.469,5.169,-3.986,0.98,0.115,-0.115,,,,,,,Radial Velocity,2016.0,1
EPIC 220674823 b,EPIC 220674823,,,TIC 266015990,13.0800239,10.7947051,244.59,0.57130782,5.6e-07,-5.7e-07,0.0132,0.00014,-0.00014,0.0,,,88.5,1.1,-1.6,,,,,,,2459473.5712,0.002,-0.0019,0.02372349,0.00204513,-0.00201367,,,,6.05,0.5,-0.5,0.913,0.024,-0.024,0.99,0.012,-0.012,5578.0,46.0,-46.0,Transit,2016.0,1
EPIC 220674823 c,EPIC 220674823,,,TIC 266015990,13.0800239,10.7947051,244.59,13.340603,2.1e-05,-2.1e-05,0.1078,0.0011,-0.0012,0.18,0.038,-0.048,89.34,0.44,-0.4,,,,,,,2459473.5249,0.0028,-0.003,0.02485618,0.00660734,-0.00660734,,,,2.27,0.6,-0.62,0.913,0.024,-0.024,0.99,0.012,-0.012,5578.0,46.0,-46.0,Transit,2016.0,1
K2-107 b,K2-107,,,TIC 414843476,284.985355,-22.2934206,685.2,3.313959,2.4e-05,-2.4e-05,0.0475,0.0006,-0.0006,,,,,,,,,,,,,2457311.15178,0.0003,-0.0003,,,,,,,,,,1.3,0.05,-0.05,1.81,0.06,-0.06,6061.0,96.0,-96.0,Transit,2017.0,1
WASP-53 b,WASP-53,,,TIC 268766053,31.9091639,-20.661843,201.338,3.3098443,2e-06,-2e-06,0.04101,0.00083,-0.00091,0.03,,,87.08,0.16,-0.15,,,,,,,2455943.56695,0.00011,-0.00012,2.132,0.092,-0.094,,,,326.1,1.8,-1.8,0.839,0.054,-0.054,0.798,0.023,-0.023,4953.0,60.0,-60.0,Transit,2017.0,1
WASP-53 c,WASP-53,,,TIC 268766053,31.9091639,-20.661843,201.338,2840.0,170.0,-130.0,3.73,0.16,-0.14,0.8369,0.0069,-0.007,,,,198.6,2.0,-2.0,,,,,,,16.35,0.85,-0.82,16.35,0.85,-0.82,475.6,8.2,-8.0,0.839,0.054,-0.054,0.798,0.023,-0.023,4953.0,60.0,-60.0,Radial Velocity,2017.0,1
WASP-81 b,WASP-81,,,TIC 399402994,304.2079924,3.2939492,398.505,2.7164762,2.3e-06,-2.3e-06,0.03908,0.0007,-0.00072,0.066,,,88.69,0.88,-0.92,,,,,,,2456195.57462,0.00023,-0.0002,0.729,0.036,-0.035,,,,100.8,3.4,-3.3,1.08,0.059,-0.058,1.283,0.04,-0.037,5870.0,120.0,-120.0,Transit,2017.0,1
TAP 26 b,TAP 26,,,TIC 435907158,64.715445,17.3878826,121.402,10.79,0.14,-0.14,0.0968,0.0032,-0.0032,,,,,,,,,,,,,,,,1.66,0.31,-0.31,1.66,0.31,-0.31,149.0,26.0,-26.0,1.04,0.1,-0.1,1.17,0.17,-0.17,4620.0,50.0,-50.0,Radial Velocity,2017.0,1
KELT-16 b,KELT-16,,,TIC 236445129,314.2685227,31.6610186,444.586,0.9689951,2.4e-06,-2.4e-06,0.02044,0.00024,-0.00026,0.0,,,84.4,3.0,-2.3,,,,,,,2457247.24791,0.00019,-0.00019,2.75,0.16,-0.15,2.74,0.15,-0.15,494.0,25.0,-25.0,1.211,0.043,-0.046,1.36,0.064,-0.053,6236.0,54.0,-54.0,Transit,2017.0,1
TRAPPIST-1 e,TRAPPIST-1,,,TIC 278892590,346.6263919,-5.0434618,,6.101013,3.5e-05,-3.5e-05,0.02925,0.0025,-0.0025,,,,89.793,0.048,-0.048,,,,,,,,,,0.00217728,6.922e-05,-6.922e-05,,,,,,,0.0898,0.0023,-0.0023,0.1192,0.0013,-0.0013,2566.0,26.0,-26.0,Transit,2017.0,1
