index,file,host,n_obs,rms_over_sigma
626,UID_0300041_RVC_001.tbl,NGC 2423 No. 3,28,2.9316983676296187
627,UID_0300041_RVC_002.tbl,NGC 2423 No. 3,18,8.211576929882
628,UID_0300042_RVC_001.tbl,TrES-3,7,0.7822643042687538
629,UID_0300042_RVC_002.tbl,TrES 3,11,2.1797970319124533
630,UID_0300043_RVC_001.tbl,TrES-4,4,0.26310106913110215
631,UID_0300043_RVC_002.tbl,TrES-4,31,1.4475979126749356
632,UID_0300044_RVC_001.tbl,XO-3,55,1.6171363882639518
633,UID_0300044_RVC_002.tbl,XO-3,11,0.31410306193223814
634,UID_0300044_RVC_003.tbl,XO-3,10,0.531595167096998
635,UID_0300044_RVC_004.tbl,XO-3,39,4.680048097267592
636,UID_0300046_RVC_001.tbl,HAT-P-4,9,0.866615813477696
637,UID_0300047_RVC_001.tbl,HD 171028,19,15.869622140397661
638,UID_0300048_RVC_001.tbl,CoRoT-2,3,593.0327316930976
639,UID_0300048_RVC_002.tbl,CoRoT-2,12,1.4979210669123655
640,UID_0300048_RVC_003.tbl,CoRoT-2,11,1.0698145501831278
641,UID_0300048_RVC_004.tbl,CoRoT-2,21,5.832714281165838
642,UID_0300048_RVC_005.tbl,CoRoT-2,8,3.7086033462694075
643,UID_0300050_RVC_001.tbl,HAT-P-5,8,1.5628058588465128
644,UID_0300051_RVC_001.tbl,HAT-P-6,15,1.8518951460667832
645,UID_0300056_RVC_001.tbl,WASP-3,7,1.4247550178295803
646,UID_0300056_RVC_002.tbl,WASP-3,33,1.8280228076620821
647,UID_0300056_RVC_003.tbl,WASP-3,33,8.13010011549671
648,UID_0300058_RVC_001.tbl,WASP-5,11,0.6552190433009468
649,UID_0300061_RVC_001.tbl,HAT-P-7,8,1.285862743789511
650,UID_0300061_RVC_002.tbl,HAT-P-7,17,2.7829949786486954
651,UID_0300061_RVC_003.tbl,HAT-P-7,69,2.295380096911269
652,UID_0300062_RVC_001.tbl,WASP-6,35,0.7871850715146931
653,UID_0300062_RVC_002.tbl,WASP-6,44,2.0648058648538132
654,UID_0300063_RVC_001.tbl,WASP-7,11,1.3884573363209152
655,UID_0300066_RVC_001.tbl,WASP-10,7,1.1394116034040052
656,UID_0300066_RVC_002.tbl,WASP-10,7,0.889406135249758
657,UID_0300067_RVC_001.tbl,HAT-P-10,8,4.5326005236280595
658,UID_0300067_RVC_002.tbl,WASP-11,6,1.852314458531343
659,UID_0300067_RVC_003.tbl,WASP-11,7,1.1471837908062752
660,UID_0300069_RVC_001.tbl,WASP-13,11,1.46267264347211
661,UID_0300070_RVC_001.tbl,WASP-14,11,2.0879918575608305
662,UID_0300070_RVC_002.tbl,WASP-14,5,2.474316059113785
663,UID_0300070_RVC_003.tbl,WASP-14,39,1.4468061963317793
664,UID_0300070_RVC_004.tbl,WASP-14,6,0.23671315289805614
665,UID_0300070_RVC_005.tbl,WASP-14,21,1.8022572448931453
666,UID_0300071_RVC_001.tbl,WASP-15,21,1.0770919299365849
667,UID_0300072_RVC_001.tbl,XO-4,9,0.6134779967652022
668,UID_0300073_RVC_001.tbl,XO-5,10,0.404841585272301
669,UID_0300073_RVC_002.tbl,XO-5,16,3.5355596777607765
670,UID_0300075_RVC_001.tbl,CoRoT-4,13,1.0707300697850002
671,UID_0300075_RVC_002.tbl,CoRoT-4,7,0.43902661160923784
672,UID_0300076_RVC_001.tbl,CoRoT 5,13,0.8163614961399416
673,UID_0300076_RVC_002.tbl,CoRoT 5,6,0.6125418023157466
674,UID_0300078_RVC_001.tbl,HAT-P-9,15,0.715145305355809
675,UID_0300082_RVC_001.tbl,HAT-P-8,10,1.7804612173302838
676,UID_0300083_RVC_001.tbl,CoRot-7,2,3707.3690472983862
677,UID_0300083_RVC_002.tbl,CoRoT 7,109,4.451453235165414
678,UID_0300084_RVC_001.tbl,CoRoT-6,14,0.8556715295767325
679,UID_0300085_RVC_001.tbl,HAT-P-12,21,1.7709865925381096
680,UID_0300086_RVC_001.tbl,BD +20 2457,37,8.266178177562233
681,UID_0300087_RVC_001.tbl,HD 240210,38,4.12550743329046
682,UID_0300088_RVC_001.tbl,HAT-P-13,96,2.625541048060728
683,UID_0300090_RVC_001.tbl,WASP-16,30,1.3356217298752169
684,UID_0300091_RVC_001.tbl,WASP-17,41,1.1410574223258332
685,UID_0300091_RVC_002.tbl,WASP-17,3,4715.1172099068435
686,UID_0300095_RVC_001.tbl,WASP-19,34,1.1327979725802884
687,UID_0300098_RVC_001.tbl,Kepler-6,9,0.9699964825220547
688,UID_0300099_RVC_001.tbl,Kepler-7,9,0.6477745502252588
689,UID_0300100_RVC_001.tbl,Kepler-8,24,1.016115051152549
690,UID_0300102_RVC_001.tbl,HAT-P-14,14,1.957297109858973
691,UID_0300105_RVC_001.tbl,WASP-22,37,1.1633546565916302
692,UID_0300105_RVC_002.tbl,WASP-22,6,0.5763681819466125
693,UID_0300106_RVC_001.tbl,WASP-26,16,0.9407113655375211
694,UID_0300107_RVC_001.tbl,WASP-21,13,0.7820420578735884
695,UID_0300107_RVC_002.tbl,WASP-21,3,3084.85894554379
696,UID_0300107_RVC_003.tbl,WASP-21,15,1.8564375348755493
697,UID_0300107_RVC_004.tbl,WASP-21,11,0.7912797298221153
698,UID_0300108_RVC_001.tbl,WASP-24,63,4.322925268547837
699,UID_0300109_RVC_001.tbl,WASP-25,29,1.3396184781381473
700,UID_0300113_RVC_001.tbl,HAT-P-15,23,3.2559788877540434
